Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,5,11,29.2,24.7,22.7,101.3,0.017797164,70,1.134919417,74.6,7,100,10,1237,458,55,57,403
1,5,12,30.0,24.5,22.1,101.3,0.017136218,64,1.133095021,73.8,8,90,10,1346,498,59,60,439
1,5,13,29.6,24.1,21.7,101.3,0.01666415,64,1.135430768,72.2,9,100,10,1372,792,405,410,388
1,5,14,30.0,24.2,21.7,101.3,0.016655215,62,1.133948454,72.6,9,100,8,1312,924,705,766,219
1,5,15,29.8,24.4,22.0,101.2,0.017078856,64,1.132825446,73.4,6,90,6,1172,879,718,892,161
1,5,16,29.0,24.2,22.1,101.2,0.017094684,68,1.135796687,72.6,8,90,4,959,641,449,686,192
1,5,17,28.5,24.6,22.8,101.1,0.017969285,73,1.13500181,74.4,7,100,1,689,460,323,648,138
1,5,18,27.6,24.5,23.0,101.1,0.018186435,78,1.138012162,74.0,5,100,1,381,254,178,453,76
1,5,19,26.5,24.0,22.7,101.1,0.017848067,81,1.142793796,72.0,4,90,1,73,49,34,82,15
1,5,20,25.6,23.5,22.4,101.1,0.017441277,84,1.146965755,70.0,5,90,1,0,0,0,0,0
1,5,21,25.5,23.3,22.1,101.2,0.017155107,83,1.14899891,69.2,4,100,6,0,0,0,0,0
1,5,22,25.5,23.5,22.4,101.2,0.017464786,85,1.148442447,70.0,4,90,0,0,0,0,0,0
1,5,23,25.4,23.3,22.2,101.2,0.017197199,84,1.149308077,69.2,5,90,0,0,0,0,0,0
1,5,24,25.0,23.0,21.9,101.3,0.016887795,85,1.152545118,68.0,4,90,0,0,0,0,0,0
1,6,1,24.8,22.8,21.7,101.2,0.016686562,84,1.15254329,67.3,3,90,0,0,0,0,0,0
1,6,2,24.6,22.6,21.5,101.2,0.016469794,84,1.153709042,66.5,4,90,3,0,0,0,0,0
1,6,3,24.3,22.8,21.9,101.2,0.01689684,88,1.154100673,67.3,4,100,0,0,0,0,0,0
1,6,4,23.0,22.0,21.3,101.2,0.016253751,92,1.160334798,64.3,5,100,0,0,0,0,0,0
1,6,5,22.4,21.5,20.8,101.2,0.015781538,92,1.163551307,62.5,0,0,0,0,0,0,0,0
1,6,6,22.0,21.0,20.3,101.2,0.015239803,92,1.16611876,60.7,0,0,0,1,0,0,0,0
1,6,7,25.5,22.5,21.0,101.3,0.01592518,78,1.152351867,66.1,0,0,0,183,136,110,265,26
1,6,8,26.0,23.0,21.5,101.4,0.01644953,78,1.150615676,67.9,0,0,3,505,372,300,548,73
1,6,9,29.0,24.0,21.8,101.4,0.016738611,66,1.138675792,71.7,8,120,5,801,463,236,334,226
1,6,10,29.4,23.8,21.3,101.4,0.016256199,63,1.138029902,70.9,8,90,8,1050,607,310,365,297
1,6,11,30.0,23.9,21.2,101.4,0.016161461,60,1.135946112,71.3,6,90,8,1236,598,184,194,414
1,6,12,30.3,24.1,21.4,101.4,0.016351214,60,1.134485732,72.1,9,100,9,1346,651,201,201,451
1,6,13,29.8,24.1,21.6,101.4,0.016560985,63,1.135984811,72.1,7,100,9,1373,664,204,207,460
1,6,14,29.7,24.0,21.5,101.4,0.016444761,63,1.136566784,71.7,8,100,9,1313,636,196,213,440
1,6,15,29.4,23.6,21.0,101.3,0.015963047,62,1.137430034,70.2,10,100,9,1173,826,630,783,196
1,6,16,28.3,23.8,21.7,101.2,0.016755655,69,1.139038402,71.1,10,100,6,961,677,516,789,161
1,6,17,28.5,23.5,21.2,101.1,0.016222365,66,1.138108653,69.9,6,100,6,691,399,204,411,195
1,6,18,28.1,23.1,20.8,100.9,0.015811244,66,1.138098555,68.4,6,100,8,383,221,113,288,108
1,6,19,26.2,23.1,21.6,101.0,0.016590163,77,1.145058811,68.5,5,90,8,74,52,40,96,12
1,6,20,25.4,23.0,21.7,101.0,0.016773667,82,1.147797286,68.1,5,90,6,0,0,0,0,0
1,6,21,25.1,22.5,21.1,101.0,0.016145356,80,1.150083121,66.2,5,100,4,0,0,0,0,0
1,6,22,25.1,22.5,21.1,101.1,0.016127866,80,1.151253371,66.2,5,100,4,0,0,0,0,0
1,6,23,25.0,22.6,21.3,101.1,0.016319349,82,1.151294018,66.6,4,90,8,0,0,0,0,0
1,6,24,24.9,22.5,21.2,101.1,0.016211815,82,1.151874352,66.2,4,90,8,0,0,0,0,0
1,7,1,24.5,22.5,21.4,101.1,0.016379786,84,1.153118805,66.2,4,90,4,0,0,0,0,0
1,7,2,24.2,22.6,21.6,101.0,0.016673102,87,1.152610861,66.6,2,90,3,0,0,0,0,0
1,7,3,24.0,22.6,21.7,101.0,0.016757201,89,1.153234775,66.6,3,100,5,0,0,0,0,0
1,7,4,22.7,21.8,21.1,101.0,0.016121772,93,1.159455699,63.7,0,0,10,0,0,0,0,0
1,7,5,22.1,21.6,21.1,101.0,0.016084166,96,1.161880393,63.0,0,0,9,0,0,0,0,0
1,7,6,21.6,21.0,20.4,101.0,0.015439193,95,1.165029017,60.8,0,0,8,0,0,0,0,0
1,7,7,21.9,21.5,21.0,101.1,0.016007782,97,1.163958473,62.6,0,0,10,180,67,8,19,59
1,7,8,24.0,22.5,21.6,101.2,0.016572422,88,1.15585279,66.2,0,0,10,502,290,148,271,142
1,7,9,27.4,23.5,21.7,101.2,0.016665509,72,1.142610526,69.9,6,100,8,799,387,119,169,268
1,7,10,29.6,24.6,22.4,101.2,0.017486095,67,1.132851882,74.3,5,70,9,1049,606,309,365,296
1,7,11,30.0,24.6,22.3,101.1,0.017337742,65,1.130501441,74.3,6,90,8,1235,598,184,194,414
1,7,12,30.6,24.6,22.0,101.1,0.017085516,62,1.128713665,74.3,4,100,9,1346,948,723,726,225
1,7,13,30.4,24.5,22.0,101.1,0.017007657,62,1.129594965,73.9,5,90,6,1373,508,61,61,448
1,7,14,30.2,24.3,21.7,101.0,0.016789474,62,1.129607384,73.1,6,100,10,1314,486,58,63,428
1,7,15,30.1,24.3,21.8,101.0,0.016831465,62,1.129905605,73.1,6,90,10,1175,678,346,431,332
1,7,16,29.0,24.5,22.5,100.9,0.017636166,69,1.131470997,74.0,7,110,8,963,556,284,435,272
1,7,17,28.4,24.4,22.6,100.8,0.017746853,72,1.13240273,73.7,5,100,8,693,511,412,831,100
1,7,18,28.0,24.1,22.3,100.8,0.017433443,73,1.134462631,72.5,5,100,5,385,289,236,489,53
1,7,19,27.0,23.8,22.3,100.8,0.017378357,77,1.138340354,71.3,5,90,4,75,56,46,111,10
1,7,20,26.0,23.7,22.5,100.9,0.017623066,83,1.142841264,70.9,3,90,4,0,0,0,0,0
1,7,21,25.4,23.6,22.6,100.9,0.017719101,86,1.14496613,70.5,3,90,3,0,0,0,0,0
1,7,22,25.0,23.1,22.0,101.0,0.017094744,85,1.14875973,68.5,2,80,3,0,0,0,0,0
1,7,23,24.9,23.4,22.5,101.0,0.017599416,88,1.148238384,69.7,2,100,3,0,0,0,0,0
1,7,24,25.0,23.5,22.6,101.1,0.017694116,88,1.148819646,70.1,2,110,4,0,0,0,0,0
1,8,1,25.0,23.5,22.6,101.0,0.017712777,88,1.147649846,70.1,4,110,5,0,0,0,0,0
1,8,2,24.8,23.5,22.7,101.0,0.017797109,90,1.148268828,70.1,3,100,5,0,0,0,0,0
1,8,3,24.6,23.6,22.9,100.9,0.018056542,92,1.147437162,70.6,3,100,5,0,0,0,0,0
